word,frequency
@thehill,1
What,0
is,23
this...,1
3rd,1
grade?,1
So,0
petty.,1
,203
vulgar...,1
so,5
trump,7
@realDonaldTrump,0
Trump's,0
economy,1
stinks,1
(rank,1
since,1
"1929)

1)",1
Clinton,0
"2000,",1
$236,1
billion,36
"surplus
2)",1
"2001,",1
$128,1
"surplus
3)",1
"1999,",1
$126,1
"surplus
4)",1
"1998,",1
$69,1
"surplus
5)",1
Truman,0
"1948,",1
$12,3
"surplus
…
86)",1
Trump,0
"2018,",1
$665,1
deficit,1
How,0
about,2
a,49
U.S.,0
election,1
where,1
our,1
Secretary,0
of,10
State,0
not,6
in,14
the,94
midst,1
plot,1
to,56
extort,1
Ukraine,0
by,3
withholding,1
military,2
aid,3
until,1
investigates,1
political,3
"opponents?
Too",0
much,1
"ask?
Apparently.",0
https://t.co/hiSqQNo6mV,0
VIDEO:,0
Pelosi,0
Holds,0
"Presser,",0
Declares,0
“The,0
Evidence,0
Clear”,0
and,8
“Has,0
Violated,0
His,0
Oath,0
"Office”
READ",0
MORE:,0
https://t.co/4XBBcyLKOB,0
I,0
wish,1
could,4
agree,1
with,2
that,6
"statement,",1
but,2
if,1
does,1
get,1
impeached,1
&amp;,8
"removed,",1
he,16
conceivably,1
win,1
re-election,2
then,2
history,1
will,16
show,1
NOTHING,0
b/c,1
dynastic,1
dictatorship,1
obliterate,1
anything,1
(&amp;,1
anyone),1
unfavorable,1
him.,2
https://t.co/15yZDe8MXe,0
BREAKING:,0
Full,0
House,0
vote,2
impeach,2
be,8
held,1
before,1
end,1
December.,0
Democrats,0
have,2
"votes,",1
impeached.,1
The,0
question,8
whether,8
GOP,0
abandom,2
Trump.,0
We,0
know,3
answer.,2
country,2
abandon,2
GOP.,0
It,0
seems,1
Boris,0
Johnson,0
has,1
gone,1
off,2
debating.,1
He,0
doesn’t,1
want,1
you,7
hear,1
truth:,1
he’s,1
bought,1
billionaires,1
preparing,1
sell,1
out,1
NHS,0
Donald,0
https://t.co/n6c8UAqXGX,0
Fiona,0
Hill,0
distilled,1
impeachment,2
inquiry,1
down,1
three,1
weighty,1
words:,1
"""Domestic",0
"errand.""",1
@Kevinliptakcnn,0
pens,1
this,1
smart,1
piece,1
should,1
read:,1
https://t.co/JYqw8m4IXX,0
hope,1
holds,1
up,2
Israel,0
now,3
Benjamin,0
Netanyahu,0
was,1
indicted,1
for,6
"bribery.

You",0
because,1
cares,1
"""corruption""",1
much.,1
I’m,0
really,1
struck,1
parade,1
"respected,",1
nonpartisan,1
professionals—from,1
Jim,0
Clapper,0
John,0
Brennan,0
Mueller,0
"to,",1
"now,",1
Amb.,0
Taylor,0
Hill—who,0
rung,1
alarm,1
bell,1
on,16
"Trump,",0
yet,1
won’t,1
listen,1
at,5
all....,1
@NBCNews,0
Funny,0
how,1
corrupt,1
thugs,1
stick,1
together,1
#trump,1
only,1
difference,1
served,1
his,6
like,3
milking,1
it,6
guess,1
"hook,",1
got,1
little,1
lapdog,1
@LindseyGrahamSC,0
do,2
dirty,1
work,1
"
",1
https://t.co/7CpQJnmNNd,0
did,1
wasn’t,1
minor,1
or,4
just,1
stupid.,1
A,0
president,2
seeking,1
foreign,1
interference,1
help,1
as,6
bad,1
gets.,1
That,0
used,1
extortion,1
urgently,1
needed,1
an,4
ally,1
under,1
attack,1
puts,1
beyond,1
pale.,1
Horrors:,0
Zuck,0
talked,1
someone,1
don't,1
"like?

Lil'",0
Honeckers,0
Julia,0
Carrie,0
Wong,0
are,2
opposite,1
"liberal.

MT",0
@ec_blueearbooks,1
we,1
learn,1
Zuckerberg,0
had,1
private,1
dinner,1
WH,0
Trump...,0
MT,0
@juliacarriew,1
[yet,1
another,1
attempt,1
quash,1
dissent],1
Leader,0
Drops,0
BOMB,0
Schiff,0
-,4
Points,0
Committee,0
Rule,0
Must,0
Allow,0
Republicans,0
Day,0
Call,0
Witnesses,0
Dems,0
Forgot,0
Strike,0
This,0
their,1
Crooked,0
Plot,0
Remove,0
https://t.co/UDbMlpZdXY,0
via,1
@gatewaypundit,1
surprised...the,1
's,1
crooked,1
they,1
couldn't,1
draw,1
straight,1
line,1
"1""",1
cube!,1
https://t.co/78qjOMaVC3,0
ran,1
w/,1
zero,1
experience,4
i,6
need,1
masters,1
4,1
years,1
ENTRY,0
level,1
job...,1
Presidential,0
candidate,1
Andrew,0
Yang,0
warns,1
Democrats',0
focus,1
may,1
"backfire,",1
arguing,1
voters,1
more,1
interested,1
policy,1
issues.,1
"""The",0
fact,1
"is,",1
thrives,1
"attention,",1
even,1
negative,1
"attention.""",1
https://t.co/EhMOPml9Qe,0
